id,from_pages,from_issues,newspaper_id
tageblatt-1925-02-25-a-p0006,,True,tageblatt
tageblatt-1925-02-27-a-p0007,,True,tageblatt
tageblatt-1925-02-27-a-p0008,,True,tageblatt
tageblatt-1925-03-10-a-p0006,,True,tageblatt
tageblatt-1925-03-10-a-p0007,,True,tageblatt
tageblatt-1925-03-10-a-p0008,,True,tageblatt
tageblatt-1925-03-11-a-p0008,,True,tageblatt
tageblatt-1925-03-17-a-p0005,,True,tageblatt
tageblatt-1925-03-17-a-p0006,,True,tageblatt
tageblatt-1925-03-17-a-p0008,,True,tageblatt
tageblatt-1925-03-20-a-p0008,,True,tageblatt
tageblatt-1925-03-24-a-p0006,,True,tageblatt
tageblatt-1925-03-24-a-p0007,,True,tageblatt
tageblatt-1925-03-24-a-p0008,,True,tageblatt
tageblatt-1925-03-26-a-p0008,,True,tageblatt
tageblatt-1925-03-31-a-p0006,,True,tageblatt
tageblatt-1925-03-31-a-p0008,,True,tageblatt
tageblatt-1925-04-07-a-p0006,,True,tageblatt
tageblatt-1925-04-15-a-p0006,,True,tageblatt
tageblatt-1925-04-15-a-p0008,,True,tageblatt
tageblatt-1925-04-21-a-p0006,,True,tageblatt
tageblatt-1925-04-21-a-p0008,,True,tageblatt
tageblatt-1925-04-23-a-p0007,,True,tageblatt
tageblatt-1925-04-23-a-p0008,,True,tageblatt
tageblatt-1925-04-28-a-p0006,,True,tageblatt
tageblatt-1925-04-28-a-p0008,,True,tageblatt
tageblatt-1925-05-05-a-p0006,,True,tageblatt
tageblatt-1925-05-05-a-p0007,,True,tageblatt
tageblatt-1925-05-05-a-p0008,,True,tageblatt
tageblatt-1925-05-12-a-p0004,,True,tageblatt
tageblatt-1925-05-12-a-p0006,,True,tageblatt
tageblatt-1925-05-19-a-p0006,,True,tageblatt
tageblatt-1925-05-19-a-p0007,,True,tageblatt
tageblatt-1925-05-19-a-p0008,,True,tageblatt
tageblatt-1925-05-26-a-p0006,,True,tageblatt
tageblatt-1925-05-26-a-p0008,,True,tageblatt
